subgroup,outcome,definition,n_boot_reps,premium_mean,premium_se_boot,premium_ci_lo,premium_ci_hi,ate_mean_boot,ate_ci_lo_boot,ate_ci_hi_boot,n_perm_reps,perm_null_sd,perm_pval
Overall,Revenue,OECD (strict GRV),200,0.027807081268526414,0.02071226356748105,1.8812039211992332e-4,0.0693226815329263,0.05924569153953431,0.03536129004523099,0.08759913385279793,200,0.003179942314684702,0.004975124378109453
Overall,Revenue,Pavitt broad,200,0.016207294587457413,0.010523712783123257,-0.0024043860523006604,0.03703180395936007,0.06057288388564787,0.037398926560797095,0.08905801792447988,200,0.0037346706818992908,0.004975124378109453
Overall,Revenue,Pavitt narrow,200,0.01896765519131154,0.011749222789479104,-0.0027720948832100872,0.044222673574778944,0.05962557699620214,0.035708728001761315,0.08729758471828547,200,0.0029255894183097845,0.004975124378109453
SME,Revenue,Calvino,200,6.737073171697728e-4,0.013957118234449556,-0.025008949060771883,0.03212524438580305,0.16705401628235902,0.04087120254583238,0.28592340275969325,200,0.0019300946483717927,0.75
SME,Revenue,OECD (ICT-inclusive),200,6.006983510501136e-4,0.012325744422112817,-0.021826725366002376,0.02723007689929162,0.16762049055557066,0.043123043789607296,0.2861685509165678,200,0.0019365294876057114,0.675
SME,Revenue,OECD (strict GRV),200,0.002980443123883987,0.008780321670807525,-0.014116991685186372,0.022060849652595527,0.16756631405442887,0.04142133493419493,0.28609459220615013,200,0.0022471778505923656,0.195
SME,Revenue,Pavitt broad,200,-0.0010213569859785403,0.005769917706870044,-0.012048630432821696,0.011447497884849153,0.167285327714064,0.04103748464915936,0.28668542488293464,200,0.0018937532719788498,0.575
SME,Revenue,Pavitt narrow,200,4.4384998416935155e-4,0.009184689343943309,-0.014990372321577293,0.018966598780934735,0.167599063169827,0.043632615286360615,0.28615299058181415,200,0.0018841692352693964,0.805
Subsidiary,Employment,Calvino,200,0.007422871587138158,0.008259883343399766,-0.009686955986402013,0.02351407517886081,0.04105860757488223,0.013605955963503056,0.06471457209530664,200,0.002494806374839383,0.01
Subsidiary,Employment,OECD (ICT-inclusive),200,0.009136158650130939,0.00734737544645518,-0.0036752214745347164,0.02463443656751557,0.04213382495896106,0.014729479961304179,0.06497034388174075,200,0.00288588806317191,0.015
Subsidiary,Employment,OECD (strict GRV),200,0.006698034802517355,0.005491826189623154,-0.002734320228948372,0.018896111633822713,0.042175594690273585,0.014461666868968487,0.06512755852871388,200,0.0025714279816899067,0.015
Subsidiary,Employment,Pavitt broad,200,0.004203332917601489,0.007329650504256274,-0.009831398976625714,0.01871867705114839,0.04172459294812017,0.013763548569861934,0.06487000584413606,200,0.0030937215403605257,0.135
Subsidiary,Employment,Pavitt narrow,200,0.006313655539735495,0.006371626886443774,-0.003984897693617495,0.020099369000784538,0.04218645684477365,0.01513352259794217,0.06537754287574647,200,0.002919320951277571,0.02
Subsidiary,Revenue,Calvino,200,0.016561146870903168,0.01220928648710526,-0.007960002640915337,0.039877680068064185,0.041392121491835535,0.0056100159300659725,0.07095506759732863,200,0.003732495404099555,0.004975124378109453
Subsidiary,Revenue,OECD (ICT-inclusive),200,0.012461628392921816,0.01132260418089217,-0.008640395413444524,0.03379096638305523,0.04209382331400834,0.007264774262523376,0.07105742482453863,200,0.003704505395858019,0.01
Subsidiary,Revenue,OECD (strict GRV),200,0.007905694486227103,0.008281579820507022,-0.0062016760886715525,0.025719920311362877,0.04187155876085116,0.007314806395686849,0.07169068293365657,200,0.004720929886721156,0.025
Subsidiary,Revenue,Pavitt broad,200,0.010979504179295947,0.010149266529542239,-0.006493364455773639,0.029875616534673764,0.04271682441710356,0.007096508138223593,0.07156209957968508,200,0.004643672922789251,0.04
Subsidiary,Revenue,Pavitt narrow,200,0.00787633943394218,0.008855383451207106,-0.006610148976087084,0.02708512953471647,0.04197900823793634,0.007147266758220676,0.07136189643174765,200,0.003989285481628165,0.075
